Name,Cases,Location
"Eastern Reception, Diagnostic and Correctional Center","1,063","Bonne Terre, Mo."
Arkansas Valley Correctional Facility,"1,060","Ordway, Colo."
Vacaville state medical prison,"1,056","Vacaville, Calif."
Fox Lake Correctional Institution,"1,053","Fox Lake, Wis."
Elkton federal prison,"1,051","Lisbon, Ohio"
Pinckneyville Correctional Center,"1,044","Pinckneyville, Ill."
Minnesota Correctional Facility – St. Cloud,"1,043","St. Cloud, Minn."
Goose Creek Correctional Center,"1,041","Wasilla, Alaska"
Northpoint Training Center prison,"1,040","Burgin, Ky."
Suwannee Correctional Institution,"1,038","Live Oak, Fla."
Marquette Branch Prison,"1,035","Marquette, Mich."
State Correctional Institution at Waymart,"1,035","Waymart, Pa."
Kettle Moraine Correctional Institution,"1,035","Plymouth, Wis."
Bledsoe County Correctional Complex,"1,033","Pikeville, Tenn."
State Correctional Institution at Somerset,"1,031","Somerset, Pa."
Men's Central Jail,"1,031","Los Angeles, Calif."
Mayo Correctional Institution Annex,"1,028","Mayo, Fla."
Santa Rosa Correctional Institution,"1,026","Milton, Fla."
Anamosa State Penitentiary,"1,023","Anamosa, Iowa"
Cuyahoga County jail,"1,023","Cleveland, Ohio"
Sedgwick County jail,"1,014","Wichita, Kansas"
Dixon Correctional Institute,999,"Jackson, La."
East Arkansas Regional Unit prison,967,"Marianna, Ark."
Saint Louis Correctional Facility,964,"Saint Louis, Mich."
Dodge Correctional Institution,958,"Waupun, Wis."
Saguaro Correctional Center,956,"Eloy, Ariz."
Crowley County Correctional Facility,953,"Olney Springs, Colo."
Lakeland Correctional Facility,953,"Coldwater, Mich."
Otero County correctional facilities,941,"Chaparral, N.M."
James V. Allred Unit prison,939,"Iowa Park, Texas"
William S. Key Correctional Center,935,"Fort Supply, Okla."
Newberry Correctional Facility,928,"Pentland Township, Mich."
Idaho State Correctional Institution,927,"Kuna, Idaho"
Fremont Correctional Facility,926,"Cañon City, Colo."
Richard A. Handlon Correctional Facility,915,"Ionia, Mich."
Fulton Reception and Diagnostic Center prison,909,"Fulton, Mo."
Leavenworth federal prison,903,"Leavenworth, Kan."
Two Rivers Correctional Institution,902,"Umatilla, Ore."
Pekin federal prison,901,"Pekin, Ill."
Stiles Unit prison,898,"Beaumont, Texas"
Lea County Correctional Facility,897,"Hobbs, N.M."
William Clements Unit prison,896,"Amarillo, Texas"
North Central Correctional Institution,894,"Gardner, Mass."
Graham Correctional Center,893,"Hillsboro, Ill."
Norton Correctional Facility,893,"Norton, Kan."
Oaks Correctional Facility,890,"Manistee, Mich."
James T. Vaughn Correctional Center,887,"Smyrna, Del."
Varner Supermax Unit prison,881,"Grady, Ark."
Polunsky Unit prison,880,"Livingston, Texas"
Newton Correctional Facility,877,"Palo Alto Township, Iowa"
Louisiana State Penitentiary,877,"Angola, La."
Deerfield Correctional Center,872,"Capron, Va."
Lovelock Correctional Center,867,"Lovelock, Nev."
Dixon Correctional Center,866,"Dixon, Ill."
Mike Durfee State Prison,865,"Springfield, S.D."
Marion federal prison,865,"Marion, Ill."
Greenville federal prison,852,"Greenville, Ill."
Arizona State Prison Complex – Safford,851,"Safford, Ariz."
Century Correctional Institution,851,"Century, Fla."
Waupun Correctional Institution,851,"Waupun, Wis."
Mount Pleasant Correctional Facility,850,"Mount Pleasant, Iowa"
California Institution for Women prison,848,"Corona, Calif."
Lexington federal medical center,843,"Lexington, Ky."
Deuel Vocational Institution prison,834,"Tracy, Calif."
Limon Correctional Facility,833,"Limon, Colo."
Oxford federal prison,832,"Oxford, Wis."
Logan Correctional Center,828,"Broadwell Township, Ill."
Big Spring federal prison,826,"Big Spring, Texas"
Jess Dunn Correctional Center,825,"Taft, Okla."
Fort Worth federal prison medical center,816,"Fort Worth, Texas"
Loretto federal prison,810,"Loretto, Pa."
Grimes Unit prison,809,"Newport, Ark."
Roach Unit prison,809,"Childress, Texas"
Dr. Eddie Warrior Correctional Center,804,"Taft, Okla."
High Desert State Prison,799,"Indian Springs, Nev."
Terminal Island federal prison,790,"San Pedro, Calif."
Carswell federal prison medical center,785,"Fort Worth, Texas"
Kentucky State Penitentiary,782,"Lyon County, Ky."
Greensville Correctional Center,782,"Jarratt, Va."
Sandstone federal prison,779,"Sandstone, Minn."
Roederer Correctional Complex,778,"LaGrange, Ky."
Englewood federal prison,772,"Littleton, Colo."
Graceville Correctional Facility,768,"Graceville, Fla."
Lee Adjustment Center prison,768,"Beattyville, Ky."
La Palma ICE facility,767,"Eloy, Ariz."
Manchester federal prison,765,"Manchester, Ky."
Taylor Correctional Institution,764,"Perry, Fla."
State Correctional Institution at Smithfield,764,"Huntingdon, Pa."
Farmington Correctional Center,757,"Farmington, Mo."
Texarkana federal prison,757,"Texarkana, Texas"
MacDougall-Walker Correctional Institution,745,"Suffield, Conn."
Garden State Youth Correctional Facility,745,"Burlington County, N.J."
Orange County Jail,740,"Orlando, Fla."
San Juan County Detention Center,725,"Farmington, N.M."
Rappahannock Regional Jail,721,"Stafford, Va."
Sussex Correctional Institution,720,"Georgetown, Del."
Snake River Correctional Institution,718,"Ontario, Ore."
Michael Unit prison,716,"Tennessee Colony, Texas"
Jim Ferguson Unit prison,712,"Midway, Texas"
State Correctional Institution at Laurel Highlands,711,"Somerset, Pa."
Fayette County jail,708,"Lexington, Ky."
Coffeewood Correctional Center,707,"Mitchells, Va."
Western Virginia Regional Jail,702,"Salem, Va."
Raymond Laborde Correctional Center,699,"Avoyelles Parish, La."
Fluvanna Correctional Center for Women,697,"Troy, Va."
Lee federal prison,697,"Pennington Gap, Va."
Virginia Beach Correctional Center,694,"Virginia Beach, Va."
Bayside State Prison,693,"Maurice River Township, N.J."
Monroe Correctional Center,692,"Monroe, Wash."
Jackson Correctional Institution,689,"Black River Falls, Wis."
Oakdale federal prison complex,689,"Oakdale, La."
Southern Desert Correctional Center,685,"Indian Springs, Nev."
Pontiac Correctional Center,683,"Pontiac, Ill."
El Reno federal prison,680,"El Reno, Okla."
William G. McConnell Unit prison,678,"Beeville, Texas"
Kirkland Correctional Institution,677,"Columbia, S.C."
Fabian Dale Dominguez State Jail,677,"San Antonio, Texas"
Schuykill federal prison,675,"Minersville, Pa."
Colorado Territorial Correctional Facility,674,"Cañon City, Colo."
Ellsworth Correctional Facility,674,"Ellsworth, Kan."
Smith Unit prison,674,"Lamesa, Texas"
George Beto Unit prison,671,"Tennessee Colony, Texas"
Santa Rita Jail,671,"Dublin, Calif."
Safford federal prison,671,"Safford, Ariz."
Montana State Prison,669,"Deer Lodge, Mont."
Webb County jail,669,"Laredo, Texas"
Buckingham Correctional Center,668,"Dillwyn, Va."
McPherson Unit prison,667,"Newport, Ark."
Springfield federal medical center prison,666,"Springfield, Mo."
Clarinda Correctional Facility,665,"Clarinda, Iowa"
Reynoldo V. Lopez State Jail,661,"Edinburg, Texas"
Tucker Unit prison,660,"Tucker, Ark."
Petersburg federal prison complex,660,"Hopewell, Va."
Parnall Correctional Facility,658,"Jackson, Mich."
Baker Correctional Institution,657,"Sanderson, Fla."
"Women's Eastern Reception, Diagnostic and Correctional Center prison",655,"Vandalia, Mo."
Augusta Correctional Center,655,"Craigsville, Va."
