Name,Cases,Location
New Haven Correctional Center,359,"New Haven, Conn."
Hennepin County jail,359,"Minneapolis, Minn."
Gulf Correctional Institution,358,"Wewahitchka, Fla."
Lawtey Correctional Institution,358,"Lawtey, Fla."
Illinois River Correctional Center,358,"Canton, Ill."
Howard County jail,358,"Kokomo, Ind."
Washington County jail,356,"Fayetteville, Ark."
Gregg County jail,356,"Longview, Texas"
Pine Bluff prison,355,"Pine Bluff, Ark."
Fairton federal prison,355,"Fairton, N.J."
State Correctional Institution at Rockview,352,"Benner Township,, Pa."
Leon County jail,352,"Tallahassee, Fla."
State Correctional Institution at Greene,351,"Waynesburg, Pa."
Northeast Oklahoma Correctional Center,350,"Vinita, Okla."
Kern County jail,350,"Bakersfield, Calif."
Yakima County jail,350,"Yakima, Wash."
Jefferson Correctional Institution,349,"Monticello, Fla."
Elayn Hunt Correctional Center,349,"Saint Gabriel, La."
Miami Correctional Facility,348,"Bunker Hill, Ind."
Denton County jail,348,"Denton, Texas"
Milan federal prison,346,"Milan, Mich."
Southern New Mexico Correctional Facility,345,"Las Cruces, N.M."
Rufus H. Duncan Geriatric Facility prison,345,"Diboll, Texas"
Randall L. Williams Correctional Facility,344,"Pine Bluff, Ark."
Cascade County Detention Facility,344,"Great Falls, Mont."
Chesapeake City jail,344,"Chesapeake, Va."
Arizona State Prison Complex – Perryville,343,"Goodyear, Ariz."
L.V. Hightower Unit prison,343,"Denley, Texas"
Bucks County jail,343,"Doylestown, Pa."
Marion County Jail,339,"Ocala, Fla."
Farmville ICE facility,339,"Farmville, Va."
Plymouth County jail,338,"Plymouth, Mass."
Warren County Regional Jail,337,"Bowling Green, Ky."
San Diego County Jail,336,"San Diego, Calif."
Chippewa Valley Correctional Treatment Facility,335,"Chippewa Falls, Wis."
Lewisburg federal prison,335,"Lewisburg, Pa."
Crossroads Correctional Center,333,"Shelby, Mont."
Franklin Correctional Facility,333,"Malone, N.Y."
Santa Barbara County jail,333,"Santa Barbara, Calif."
Mabel Bassett Correctional Center,332,"McLoud, Okla."
Weber County jail,332,"Ogden, Utah"
Pamunkey Regional Jail,332,"Hanover, Va."
Joe F. Gurney Transfer Facility prison,331,"Palestine, Texas"
Century Regional Detention Facility,331,"Lynwood, Calif."
Toledo Correctional Institution,330,"Toledo, Ohio"
Avery Mitchell Correctional Institution,329,"Ingalls, N.C."
Belmont Correctional Institution,328,"Saint Clairsville, Ohio"
Joseph Harp Correctional Center,328,"Lexington, Okla."
Deer Ridge Correctional Institution,328,"Madras, Ore."
Wayne County jails,328,"Detroit, Mich."
Port Isabel ICE facility,328,"Los Fresnos, Texas"
Beckley federal prison,328,"Beaver, W.Va."
Liberty Correctional Institution,327,"Bristol, Fla."
Iowa State Penitentiary,327,"Fort Madison, Iowa"
Alexander Correctional Institution,327,"Taylorsville, N.C."
Westchester County jail,327,"Valhalla, N.Y."
Western Illinois Correctional Center,326,"Mount Sterling, Ill."
Cotulla prison transfer facility,326,"Cotulla, Texas"
Dublin federal prison,326,"Dublin, Calif."
Pender Correctional Institution,325,"Burgaw, N.C."
Union Correctional Institution,323,"Raiford, Fla."
Moberly Correctional Center,323,"Moberly, Mo."
Thomas R. Havins Unit prison,323,"Brownwood, Texas"
Torres Unit prison,323,"Hondo, Texas"
Grafton Correctional Institution,322,"Grafton, Ohio"
Branchville Correctional Facility,321,"Branchville, Ind."
Dade Correctional Institution,317,"Florida City, Fla."
Forsyth County Detention Center,317,"Winston-Salem, N.C."
Guadalupe County Correctional Facility,315,"Santa Rosa, N.M."
Hardeman County Correctional Facility,315,"Whiteville, Tenn."
Noble Correctional Institution,314,"Caldwell, Ohio"
Jackie Brannon Correctional Center,314,"McAlester, Okla."
Choice Moore Transfer Facility,314,"Bonham, Texas"
Stringfellow Unit prison,314,"Rosharon, Texas"
Dane County jail,314,"Madison, Wis."
Taylor County Adult Detention Facility,313,"Abilene, Texas"
Central Regional Jail and Correctional Facility,313,"Suton, W.Va."
Formby State Jail,312,"Plainview, Texas"
Avon Park Correctional Institution,311,"Avon Park, Fla."
Price Daniel Unit prison,311,"Snyder, Texas"
Contra Costa County Jail,311,"Martinez, California"
Maryland Correctional Institution - Jessup,308,"Jessup, Md."
Edna Mahan Correctional Facility for Women,307,"Clinton, N.J."
North Dakota State Penitentiary,307,"Bismarck, N.D."
Missouri Eastern Correctional Center,306,"Pacific, Mo."
Larch Corrections Center,306,"Yacolt, Wash."
Allen Correctional Center,305,"Kinder, La."
SeaTac federal prison,305,"Seattle, Wash."
Old Colony Correctional Center,303,"Bridgewater, Mass."
Herlong federal prison,303,"Herlong, Calif."
Shelby County jail,302,"Memphis, Tenn."
Williamsburg federal prison,302,"Salters, S.C."
D. Ray James federal prison,301,"Folkston, Ga."
Winn ICE facility,300,"Winnfield, La."
Jackson Correctional Institution,299,"Malone, Fla."
Ely State Prison,298,"Ely, Nev."
Minnesota Correctional Facility – Rush City,297,"Rush City, Minn."
Wyoming Correctional Facility,297,"Attica, N.Y."
Lebanon Correctional Institution,296,"Lebanon, Ohio"
Kane County jail,296,"St. Charles, Ill."
Stewart Training Facility prison,293,"Carson City, Nev."
Oregon State Correctional Institution,292,"Salem, Ore."
Mobile County Metro Jail,292,"Mobile, Ala."
Atlanta federal prison,292,"Atlanta, Ga."
Purgatory Correctional Facility,289,"Hurricane, Utah"
Edgefield federal prison,289,"Edgefield, S.C."
James Byrd Unit prison,288,"Huntsville, Texas"
J. W. Hamilton Unit prison,287,"Bryan, Texas"
Glen Ray Goodman Transfer Facility prison,286,"Jasper, Texas"
Polk Correctional Institution,285,"Polk City, Fla."
Lorain Correctional Institution,285,"Lorain, Ohio"
George W. Hill Correctional Facility,285,"Thornton, Pa."
Morgantown federal prison,285,"Morgantown, W.Va."
Stanislaus County Jail,284,"Modesto, Calif."
Twin Falls County jail,284,"Twin Falls, Idaho"
Northeast Ohio Correctional Center,283,"Youngstown, Ohio"
Columbia River Correctional Institution,283,"Portland, Ore."
Greene County jail,283,"Springfield, Mo."
McCreary federal prison,283,"Pine Knot, Ky."
Garza West Transfer Facility prison,282,"Beeville, Texas"
John E. Polk Correctional Facility,282,"Sanford, Fla."
Eastern Regional Jail and Correctional Facility,282,"Martinsburg, W.Va."
North Central Regional Correctional Facility And Jail,282,"Pennsboro, W.Va."
Attica Correctional Facility,281,"Attica, N.Y."
Lumberton Correctional Institution,281,"Lumberton, N.C."
Gib Lewis Unit prison,281,"Woodville, Texas"
Robert E. Ellsworth Correctional Center,281,"Union Grove, Wis."
Highway 6 Jail,281,"Waco, Texas"
Riverside Regional Jail,280,"North Prince George, Va."
Desoto Annex prison,279,"Arcadia, Fla."
Minnesota Correctional Facility – Moose Lake,279,"Moose Lake, Minn."
Danbury federal prison,279,"Danbury, Conn."
Quehanna Motivational Boot Camp,278,"Karthaus, Pa."
Hudson County jail,278,"Kearny, N.J."
Lubbock County Jail,278,"Lubbock, Texas"
Work Site – Sacramento County,277,"Sacramento, Calif."
Centralia Correctional Center,277,"Centralia, Ill."
Roswell Correctional Center,277,"Hagerman, N.M."
Richard P. LeBlanc Unit prison,277,"Beaumont, Texas"
Boyd County jail,276,"Catlettsburg, Ky."
Montgomery ICE Processing Center,275,"Conroe, Texas"
Potosi Correctional Center,274,"Mineral Point, Mo."
Western Tidewater Regional Jail,274,"Suffolk, Va."
Burnet County Jail,273,"Burnet, Texas"
Camden County jail,272,"Camden, N.J."
Norfolk County jail,271,"Dedham, Mass."
Adelanto ICE Processing Center,271,"Adelanto, Calif."
Apalachee Correctional Institution,270,"Sneads, Fla."
Florida State Prison,270,"Railford, Fla."
Chesapeake Detention Facility,270,"Baltimore, Md."
Morgan County Correctional Complex,270,"Wartburg, Tenn."
Collin County Jail,270,"McKinney, Texas"
Tulare County jail,269,"Visalia, Calif."
Pocahontas State Correctional Center,268,"Pocahontas, Va."
King County Jail and Maleng Justice Center,268,"Seattle, Wash."
Correctional Alternative Placement Program facility,267,"Treasure Valley Community Reentry Center, Idaho"
North Central Correctional Complex,267,"Marion, Ohio"
Clay County Jail,267,"Green Cove Springs, Fla."
Blackburn Correctional Complex,266,"Fayette County, Ky."
Johnson Correctional Center,266,"Alvin, Okla."
Stevens Correctional Center/McDowell County Corrections,266,"Welch, W.Va."
Richland Correctional Institution,265,"Mansfield, Ohio"
Gadsden Re-Entry Center prison,263,"Havana, Fla."
Lake County Jail,263,"Taveres, Fla."
Charleston County jail,263,"North Charleston, S.C."
B.B. Rayburn Correctional Center,262,"Washington Parish, La."
Kenosha County jail,262,"Kenosha, Wis."
Big Sandy federal prison,262,"Inez, Ky."
Tomoka Correctional Institution,261,"Daytona Beach, Fla."
Lakin Correctional Center,261,"West Columbia, W.Va."
Bristol County jail,261,"North Dartmouth, Mass."
Zephyrhills Correctional Institution,260,"Zephyrhills, Fla."
Yuma County jail,260,"Yuma, Ariz."
Marion County Jail 1,260,"Indianapolis, Ind."
Baskerville Correctional Center,259,"Baskerville, Va."
South Texas Family Residential ICE facility,258,"Dilley, Texas"
Limestone Correctional Facility,257,"Harvest, Ala."
Baraga Correctional Facility,256,"Baraga, Mich."
Western New Mexico Correctional Facility,256,"Grants, N.M."
Perry Correctional Facility,254,"Pelzer, S.C."
William R. Boyd Unit prison,254,"Teague, Texas"
Skyview Unit prison,254,"Rusk, Texas"
Centennial Correctional Facility,253,"Cañon City, Colo."
York Correctional Institution,253,"Niantic, Conn."
Calhoun Correctional Institution,253,"Blountstown, Fla."
Pendleton Correctional Facility,253,"Pendleton, Ind."
Boonville Correctional Center,253,"Boonville, Mo."
Southeastern Correctional Institution,252,"Hocking Township, Ohio"
State Correctional Institution at Pine Grove,252,"Pine Grove, Pa."
Green Rock Correctional Center,252,"Chatham, Va."
Broward ICE Transitional Center,252,"Pompano Beach, Fla."
J. Reuben Long Detention Center,251,"Conway, S.C."
Lois M. DeBerry Special Needs Facility prison,250,"Nashville, Tenn."
Pinellas County Jail,250,"Clearwater, Fla."
Alexandria ICE staging facility,250,"Alexandria, La."
Livesay Correctional Institution,249,"Spartanburg, S.C."
Otay Mesa ICE facility,249,"San Diego, Calif."
MacDougall-Walker Infirmary,248,"Suffield, Conn."
Essex County jail,248,"Newark, N.J."
State Correctional Institution at Frackville,247,"Frackville, Pa."
Maryland Correctional Institution - Hagerstown,246,"Hagerstown, Md."
Escambia County Jail,246,"Pensacola, Fla."
Arizona State Prison Complex – Winslow,245,"Winslow, Ariz."
Colorado State Penitentiary,244,"Cañon City, Colo."
Plainfield Correctional Facility,244,"Plainfield, Ind."
Northeast Correctional Center,244,"Bowling Green, Mo."
Woodbourne Correctional Facility,244,"Woodbourne, N.Y."
Dr. Lane Murray Unit prison,244,"Gatesville, Texas"
Bullock Correctional Facility,242,"Bessemer, Ala."
Omega Technical Violator Center prison,242,"Malvern, Ark."
Saint Charles Parish jail,242,"Killona, Louisiana"
Albany County jail,242,"Albany, N.Y."
Krome North ICE Service Processing Center,242,"Miami, Fla."
Houston federal prison,242,"Houston, Texas"
Western Regional Jail and Correctional Facility,241,"Charleston, W.Va."
Correctional Industrial Facility,240,"Pendleton, Ind."
Trumbull Correctional Institution,240,"Leavittsburg, Ohio"
Rapid City Community Work Center,240,"Rapid City, S.D."
Massachusetts Treatment Center prison,239,"Bridgewater, Mass."
Howard McLeod Correctional Center,239,"Atoka, Okla."
Tuscaloosa County Jail,239,"Tuscaloosa, Ala."
Coffee Correctional Facility,238,"Nicholls, Ga."
Tipton Correctional Center,238,"Tipton, Mo."
State Correctional Institution at Mercer,238,"Mercer, Pa."
Okaloosa County jail,238,"Crestview, Fla."
Wyoming Honor Farm,237,"Riverton, Wyo."
Saint Clair County Jail,237,"Belleville, Ill."
Chatham County jail,236,"Savannah, Ga."
Hiland Mountain Correctional Center,235,"Eagle River, Alaska"
George-Greene County/Regional Correctional Facility,235,"Lucedale, Miss."
Jameson Annex,235,"Sioux Falls, S.D."
Duluth federal prison,235,"Duluth, Minn."
Moore Haven Correctional Facility,234,"Moore Haven, Fla."
Nebraska State Penitentiary,234,"Lincoln, Neb."
Bland Correctional Center,234,"Bland, Va."
Land O' Lakes Detention Center,234,"Land O' Lakes, Fla."
Maximum Security Unit prison,233,"England, Ark."
Bare Hill Correctional Facility,233,"Malone, N.Y."
Donald W. Wyatt Detention Center,233,"Central Falls, R.I."
Genesee County Jail,233,"Flint, Mich."
Richmond jail,233,"Richmond, Va."
Massachusetts Correctional Institution-Cedar Junction,232,"Walpole, Mass."
London Correctional Institution,232,"London, Ohio"
Roanoke City Jail,231,"Roanoke, Va."
Milwaukee Secure Detention Facility,230,"Milwaukee, Wis."
Bennettsville federal prison,230,"Bennettsville, S.C."
Holmes Correctional Institution,229,"Bonifay, Fla."
Three Lakes Valley Conservation Camp prison,228,"Indian Springs, Nev."
Waiawa Correctional Facility,227,"Waipahu, Hawaii"
Okeechobee Correctional Institution,226,"Okeechobee, Fla."
Caledonia Correctional Institution,226,"Halifax, N.C."
Northampton County jail,226,"Easton, Pa."
Bibb Correctional Facility,225,"Brent, Ala."
Joe Ney State Jail,225,"Hondo, Texas"
Main Detention Center,225,"West Palm Beach, Fla."
Multnomah County Inverness Jail,225,"Portland, Ore."
Hidalgo County Jail,225,"Edinburg, Texas"
South Central Correctional Center,224,"Licking, Mo."
Greene Correctional Facility,224,"Coxsackie, N.Y."
Blair County jail,224,"Hollidaysburg, Pa."
Hardee Correctional Institution,223,"Bowling Green, Fla."
Turney Center Industrial prison complex,223,"Clifton, Tenn."
Coconino County jails,223,"Flagstaff, Ariz."
Ozark Correctional Center,222,"Fordland, Mo."
Marion County Jail 2,222,"Indianapolis, Ind."
Brazoria County Jail,222,"Angleton , Texas"
Williamson County Jail,221,"Georgetown, Texas"
Bell County Forestry Camp,220,"Bell County, Ky."
Northeast New Mexico Correctional Facility,219,"Clayton, N.M."
Saint Lucie County Jail,219,"Fort Pierce, Fla."
Luzerne County jail,219,"Wilkes-Barre, Pa."
Lynchburg Adult Detention Center,219,"Lynchburg, Va."
McLennan County State Juvenile Correctional Facility,218,"Mart, Texas"
Wyoming Honor Conservation Camp,217,"Newcastle, Wyo."
Lexington Assessment and Reception Center prison,216,"Lexington, Okla."
Alamance County Detention Center,216,"Graham, N.C."
Onondaga County jail,214,"Syracuse, N.Y."
Cambria County jail,214,"Ebensburg, Pa."
San Joaquin County Jail,213,"French Camp, Calif."
Marion County jail,213,"Lebanon, Ky."
Hays County Jail,213,"San Marcos, Texas"
Blackwater River Correctional Facility,211,"Milton, Fla."
Sarasota County Jail,211,"Sarasota, Fla."
Oakland County Jail,211,"Pontiac, Mich."
Benton Unit prison,209,"Benton, Ark."
Central Arkansas Community Correction Center,209,"Little Rock, Ark."
San Francisco County jail,209,"San Francisco, Calif."
Madison Correctional Institution,208,"Madison, Fla."
Vienna Correctional Center,208,"Vienna, Ill."
Algoa Correctional Center,208,"Jefferson City, Mo."
Polk Correctional Institution,208,"Butner, N.C."
"Maryland Reception, Diagnostic and Classification Center prison",207,"Baltimore, Md."
Dayton Correctional Institution,207,"Dayton, Ohio"
Northern Regional Jail,207,"Moundsville, W.Va."
Karnes County Residential ICE facility,207,"Karnes City, Texas"
North Idaho Correctional Institution,206,"Cottonwood, Idaho"
Gouverneur Correctional Facility,205,"Gouverneur, N.Y."
State Correctional Institution at Fayette,205,"LaBelle, Pa."
Mount Olive Correctional Center,205,"Mount Olive, W.Va."
Comanche County Detention Center,205,"Lawton, Okla."
Manning Correctional Institution,204,"Columbia, S.C."
Benton County jail,204,"Bentonville, Ark."
Alachua County jail,204,"Gainesville, Fla."
Hyde Correctional Institution,203,"Swanquarter, N.C."
Giddings State School,203,"Giddings, Texas"
Northern State Correctional Facility,203,"Newport, Vt."
Fort Bend County Jail,203,"Richmond, Texas"
Muscogee County jail,202,"Columbus, Ga."
Sussex II State Prison,201,"Waverly, Va."
Casa Grande Transitional prison housing,200,"Las Vegas, Nev."
Galveston prison hospital,200,"Galveston, Texas"
Washington County jail,200,"Hagerstown, Md."
Erie County jail,200,"Alden, N.Y."
Houston ICE facility,200,"Houston, Texas"
Northwest New Mexico Correctional Center,199,"Grants, N.M."
Linda Woodman State Jail,199,"Gatesville, Texas"
Gwinnett County jail,199,"Lawrenceville, Ga."
Luna County Detention Center,199,"Deming, N.M."
Prince William – Manassas Regional Adult Detention Center,199,"Manassas, Va."
Sampson Correctional Institution,198,"Clinton, N.C."
Walker Sayle Unit prison,197,"Breckenridge, Texas"
Cleveland County Detention Center,197,"Norman, Okla."
Moshannon Valley federal prison,197,"Philipsburg, Pa."
Yankton Community Work Center,196,"Yankton, S.D."
Racine Youthful Offender Correctional Facility,196,"Racine, Wis."
Lafayette Parish jail,196,"Lafayette, Louisiana"
Montgomery County jail,196,"Dayton, Ohio"
Rock County jail,196,"Janesville, Wis."
Delta Correctional Center,195,"Delta, Colo."
Sumter Correctional Institution,195,"Bushnell, Fla."
Bay County Jail,195,"Panama City, Fla."
Warren Correctional Institution,194,"Lebanon, Ohio"
Sussex I State Prison,193,"Waverly, Va."
Daviess County jail,192,"Owensboro, Ky."
Livingston Parish jail,192,"Livingston, La."
Rio Grande ICE facility,192,"Laredo, Texas"
Jim Rudd Transfer Facility prison,191,"Brownfield, Texas"
Wende Correctional Facility,190,"Alden, N.Y."
Lancaster Correctional Institution,189,"Trenton, Fla."
Mid-State Correctional Facility,189,"Wrightstown, N.J."
Ross Correctional Institution,189,"Chillicothe, Ohio"
El Valle ICE facility,189,"Raymondville, Texas"
Patuxent Institution,188,"Jessup, Md."
Glades County ICE facility,188,"Moore Haven, Fla."
Groveland Correctional Facility,187,"Groveland, N.Y."
Craggy Correctional Center,187,"Asheville, N.C."
Jerry H. Hodge Unit prison,187,"Rusk, Texas"
Brazos County jail,187,"Bryan, Texas"
New River Valley Regional Jail,187,"Dublin, Va."
Aurora ICE facility,187,"Aurora, Colo."
Yukon Kuskokwim Correctional Center,186,"Bethel, Alaska"
Springer Correctional Center,186,"Springer, N.M."
Lake Correctional Institution,185,"Clermont, Fla."
Hutchins State Jail,185,"Dallas, Texas"
Tallahatchie County Correctional Facility,185,"Tutwiler , Miss."
Cook County juvenile hall,185,"Chicago, Ill."
Ray Brook federal prison,185,"Ray Brook, N.Y."
Minnesota Correctional Facility – Oak Park Heights,184,"Oak Park Heights, Minn."
Sonoma County jail,184,"Santa Rosa, Calif."
David Wade Correctional Center,183,"Claiborne Parish, La."
Mountain View Correctional Institution,183,"Spruce Pine, N.C."
O.L. Luther Unit prison,183,"Navasota, Texas"
Norfolk City Jail,183,"Norfolk, Va."
Indiana State Prison,182,"Michigan City, Ind."
Cayuga Correctional Facility,182,"Moravia, N.Y."
Pulaski State Prison,181,"Hawkinsville, Ga."
Carole S. Young prison medical facility,181,"Dickinson, Texas"
Yankton federal prison camp,181,"Yankton, S.D."
Glynn County Detention Center,180,"Brunswick, Ga."
Lieber Correctional Institution,179,"Ridgeville, S.C."
Muskogee County Jail,179,"Muskogee, Okla."
Amherst County Adult Detention Center,179,"Madison Heights, Va."
James Bradshaw State Jail,178,"Henderson, Texas"
Las Vegas jail,178,"Las Vegas, Nev."
Alger Correctional Facility,177,"Munising, Mich."
Texarkana Regional Correction Center,176,"Texarkana, Ark."
Garner Correctional Institution,176,"Newtown, Conn."
Coastal State Prison,176,"Garden City, Ga."
Wake County Detention Center,176,"Raleigh, N.C."
Jack Harwell Detention Center,176,"Waco, Texas"
Indiana Women's Prison,174,"Indianapolis, Ind."
Coxsackie Correctional Facility,173,"Coxsackie, N.Y."
Jerome Combs Detention Center,173,"Kankakee, Ill."
Grand Forks jail,173,"Grand Forks, N.D."
Wheeler Correctional Facility,172,"Alamo, Ga."
Virginia Peninsula Regional Jail,172,"Williamsburg, Va."
Vista Detention Facility,172,"Vista, Calif."
Mesa County Jail,172,"Grand Junction, Colo."
Chaves County Detention Center,172,"Roswell, N.M."
Hampton Roads Regional Jail,172,"Portsmouth, Va."
Virginia Peninsula Regional Jail,172,"Williamsburg, Va."
Mohawk Correctional Facility,171,"Rome, N.Y."
Tecumseh State Correctional Institution,170,"Tecumseh, Neb."
Columbus Correctional Institution,170,"Whiteville, N.C."
Adams County jail,170,"Brighton, Colo."
Galveston County Jail,170,"Galveston, Texas"
Maryland Correctional Institution for Women,169,"Jessup, Md."
Riverbend Maximum Security Institution,169,"Nashville, Tenn."
Buster Cole State Jail,169,"Bonham, Texas"
Rutherford County Jail,169,"Murfreesboro, Tenn."
Nacogdoches County Jail,168,"Nacogdoches, Texas"
Great Plains federal prison,168,"Hinton, Okla."
Green Haven Correctional Facility,167,"Beekman, N.Y."
Mountain View Unit prison,167,"Gatesville, Texas"
Wyoming Medium Correctional Institution,167,"Torrington, Wyo."
San Saba Transfer Facility,166,"San Saba, Texas"
Citrus County Detention Facility,166,"Lecanto, Fla."
Henry County jail,166,"McDonough, Ga."
Dorsey Run Correctional Facility,165,"Jessup, Md."
Saint Clair Correctional Facility,164,"Springville, Ala."
Phillips State Prison,164,"Buford, Ga."
Madison Correctional Facility,164,"Madison, Ind."
Maine Correctional Center,164,"Windam, Maine"
Northern New Hampshire Corrections Facility,164,"Berlin, N.H."
Marlin Transfer Facility,164,"Marlin, Texas"
Great Meadow Correctional Facility,163,"Comstock, N.Y."
Middlesex jail,163,"Billerica, Mass."
Clara Waters Community Corrections Center,162,"Oklahoma City, Okla."
Denver County jail,162,"Denver, Colo."
Washoe County jail,162,"Reno, Nev."
Kane County Jail,162,"Kanab, Utah"
Adams County ICE facility,162,"Natchez, Miss."
Dolph Briscoe Unit prison,161,"Dilley, Texas"
Riverview Correctional Facility,160,"Ogdensburg, N.Y."
James Lynaugh Unit,160,"Fort Stockton, Texas"
Scotts Bluff County Jail,160,"Gering, Neb."
Baltimore County jail,159,"Towson, Md."
Alvin S. Glenn Detention Center,159,"Columbia, S.C."
Gadsden Correctional Facility,158,"Quincy, Fla."
Baltimore City Correctional Center,158,"Baltimore, Md."
Central Maryland Correctional Facility,158,"Baltimore, Md."
Central Prison,158,"Raleigh, N.C."
Central Juvenile Hall,158,"Los Angeles, Calif."
Ingham County jail,158,"Mason, Mich."
Brookyln Correctional Center,157,"Brooklyn, Conn."
Johnson State Prison,157,"Wrightsville, Ga."
Prince George's County jail,157,"Upper Marlboro, Md."
Chesterfield County Jail,157,"Chesterfield, Va."
Fishkill Correctional Facility,156,"Fishkill, N.Y."
Lucas County jail,156,"Toledo, Ohio"
North Lake federal prison,156,"Baldwin, Mich."
Scott Unit prison,155,"Angleton, Texas"
Prairieland ICE facility,155,"Alvarado, Texas"
Fairbanks Correctional Center,154,"Fairbanks, Alaska"
New River Correctional Institution,154,"Raiford, Fla."
Lee Arrendale State Prison,154,"Alto, Ga."
Franklin Correctional Center,154,"Bunn, N.C."
Ohio State Penitentiary,154,"Youngstown, Ohio"
Santiam Correctional Institution,153,"Salem, Ore."
Denver Women's Correctional Facility,152,"Denver, Colo."
Hancock State Prison,152,"Sparta, Ga."
Lake Erie Correctional Institution,152,"Conneaut, Ohio"
Kershaw Correctional Institution,152,"Kershaw, S.C."
Clemens Unit prison,152,"Brazoria, Texas"
East Baton Rouge Parish jail,152,"Baton Rouge, La."
Northeast Arkansas Community Corrections,151,"Osceola, Ark."
Niagara County jail,151,"Lockport, N.Y."
Putnam Correctional Institution,150,"East Palatka, Fla."
Omaha Correctional Center,150,"Omaha, Neb."
Valley Street Jail,150,"Manchester, N.H."
Santa Fe County Adult Correctional Facility,150,"Santa Fe, N.M."
Valdosta State Prison,149,"Valdosta, Ga."
Southwestern Illinois Correctional Center,149,"East Saint Louis, Ill."
Anson Correctional Institution,149,"Polkton, N.C."
Garza East Transfer Facility prison,149,"Beeville, Texas"
Cecil County jail,149,"Elkton, Md."
Centre County jail,149,"Bellefonte, Pa."
Mid-State Correctional Facility,148,"Marcy, N.Y."
Camille Graham Correctional Institute,148,"Columbia, S.C."
Strafford County House of Corrections,148,"Dover, N.H."
Maury Correctional Institution,147,"Maury, N.C."
Mendocino County Jail,147,"Ukiah, Calif."
Clark County Jail,147,"Vancouver, Wash."
New Hanover Correctional Center,146,"Wilmington, N.C."
Brevard County jail,146,"Cocoa, Fla."
Halifax Correctional Unit,145,"South Boston, Va."
Bergen County Jail,145,"Hackensack, N.J."
Wake Correctional Center,144,"Raleigh, N.C."
Lockhart Correctional Facility,143,"Lockhart, Texas"
Nidorf Juvenile Hall,143,"Sylmar, Calif."
Macomb County jail,143,"Mount Clemens, Mich."
Civil Commitment Unit for Sexual Offenders,142,"Cherokee, Iowa"
Ellen Halbert Unit prison,142,"Burnet, Texas"
Calhoun County Jail,142,"Battle Creek, Mich."
Montana Women's Prison,141,"Billings, Mont."
Saint Tammany Parish jail,141,"Covington, Louisiana"
Cumberland County Jail,141,"Fayetteville, N.C."
Chester County jail,141,"West Chester, Pa."
Blount County jail,141,"Maryville, Tenn."
Ector County Detention Center,141,"Odessa, Texas"
Women's Therapeutic Residential Center prison,140,"Henning, Tenn."
Curry County Adult Detention Centers,140,"Clovis, N.M."
Fort Stockton Transfer Facility prison,139,"Fort Stockton, Texas"
Marshall County jail,139,"Plymouth, Ind."
Woodland Center Correctional Facility,138,"Whitmore Lake, Mich."
Harrison County jail,138,"Gulfport, Miss."
Saint Anthony Work Camp,137,"St. Anthony, Idaho"
Evins Regional Juvenile Center,137,"Edinburg, Texas"
Johnson County jail,137,"Franklin, Ind."
Saint Louis County jail,136,"Clayton, Mo."
Mack Alford Correctional Center,135,"Stringtown, Okla."
Stevenson Unit prison,135,"Cuero, Texas"
Rappahannock Shenandoah Warren Regional Jail,135,"Front Royal, Va."
Montgomery federal prison camp,135,"Montgomery, Ala."
Autry State Prison,134,"Pelham, Ga."
Decatur Correctional Center,134,"Decatur, Ill."
Boyle County Jail,134,"Danville, Ky."
Val Verde County Jail,134,"Del Rio, Texas"
Danville City Jail,134,"Danville, Va."
J.B. Wheeler State Jail,133,"Plainview, Texas"
Bartholomew County jail,133,"Columbus, Ind."
Tippecanoe County jail,133,"Lafayette, Ind."
Southwest Arkansas Community Correction Center,132,"Texarkana, Ark."
Gowanda Correctional Facility,132,"Collins, N.Y."
Lee Correctional Institution,132,"Bishopville, S.C."
Barren County jail,132,"Glasgow, Ky."
Jackson County jail,132,"Kansas City, Mo."
Tutwiler women's prison,131,"Wetumpka, Ala."
Johnston Correctional Institution,131,"Smithfield, N.C."
Yellowstone County Detention Facility,131,"Billings , Mont."
Arkansas Juvenile Assessment and Treatment Center,130,"Alexander, Ark."
Hilltop Unit prison,130,"Gatesville, Texas"
Charles B. Webster Detention Center,130,"Augusta, Ga."
Lake County jail,130,"Crown Point, Ind."
Wilson County Jail,130,"Lebanon, Tenn."
East Boise Community Work Center,129,"Boise, Idaho"
Trenton Correctional Facility,129,"Trenton, S.C."
Huttonsville Correctional Center,129,"Huttonsville, W.Va."
Pike County jail,129,"Lords Valley, Pa."
Peoria County Jail,129,"Peoria, Ill."
Midland County Detention Center,129,"Midland, Texas"
Richwood ICE facility,129,"Monroe, La."
Massachusetts Correctional Institution- Framingham,128,"Framingham, Mass."
Forsyth Correctional Center,128,"Winston-Salem, N.C."
Dalhart Unit prison,128,"Dalhart, Texas"
Northern Correctional Facility,128,"Moundsville, W.Va."
Lane County jail,128,"Eugene, Ore."
Vigo County Jail,127,"Terre Haute, Ind."
Valencia County Adult Detention Center,127,"Los Lunas, N.M."
Pennington County jail,127,"Rapid City, S.D."
Florence McClure Women's Correctional Center,126,"North Las Vegas, Nev."
Auburn Correctional Facility,126,"Auburn, N.Y."
San Luis Obispo County Jail,126,"San Luis Obispo, Calif."
La Porte County jail,126,"La Porte, Ind."
Washington County Justice Center,125,"Akron, Colo."
Shawnee County jail,125,"Topeka, Kan."
Clinton County jail,125,"McElhattan, Pa."
