"state","county","pop_tier","region","date_checked","source_reports","dashboard","testing","cases","population","deaths","releases","news_reports","releases_policy","breakdown","breakdown_parole_violations","breakdown_minor_offenses","breakdown_bail","breakdown_time_left","breakdown_vulnerable","breakdown_other","legal_filing","capacity","wave_1_pop_reduction","wave_1_pop_prior"
"Oregon","Union County","3","4",2020-12-02,"Y","N","N","N","Y","N","N","N",,,,,,,,,,37,,
"Oregon","Wasco County","3","4",2020-12-16,"Y","N","N","N","Y","N","N","N",,,,,,,,,,150,,
"Oregon","Washington County","1","4",2020-12-16,"N","N","N","N","N","N","N","Y",,"Y","N","N","N","N","Y","Y","N",,72,890
"Hawaii","Hawaii County","2","4",2021-01-26,"Y","Y","Y","Y","Y","Y","Y","Y","Releases","Y","Y","Y","N","N","N","N","N",226,24,331
"Hawaii","Honolulu County","1","4",2021-01-26,"Y","Y","Y","Y","Y","Y","Y","Y","Releases","Y","N","Y","N","N","N","N","N",950,127,973
"Hawaii","Kauai County","3","4",2021-01-26,"Y","Y","Y","Y","Y","Y","Y","Y","Releases","Y","N","Y","N","N","N","N","N",130,10,140
"Hawaii","Maui County","2","4",2021-01-26,"Y","Y","Y","Y","Y","Y","Y","Y","Releases","N","N","N","N","N","N","N","N",301,46,312
"Kentucky","Bullitt County","3","3",2020-11-04,"N","N","N","N","N","N","N","N",,,,,,,,,,315,,
"Kentucky","Christian County","3","3",2020-11-04,"N","N","N","N","N","N","N","N",,,,,,,,,,652,,
"Kentucky","Madison County","3","3",2020-11-04,"N","N","N","N","N","N","N","N",,,,,,,,,,184,,
"Kentucky","Boone County","2","3",2020-11-04,"Y","N","N","N","Y","N","N","N",,,,,,,,,,500,,
"Kentucky","Butler County","3","3",2020-12-01,"N","N","N","N","N","N","N","N",,,,,,,,,,36,,
"Kentucky","Edmonson County","3","3",2020-12-01,"N","N","N","N","N","N","N","N",,,,,,,,,,,,
"Kentucky","Fayette County","2","3",2020-12-01,"N","N","N","N","N","N","N","Y","Releases","Y","N","Y","N","Y","Y","N","N",,48,1150
"Kentucky","Fulton County","3","3",2020-12-01,"N","N","N","N","N","N","N","N",,,,,,,,,,525,29,
"Kentucky","Grayson County","3","3",2020-12-01,"N","N","N","N","N","N","N","N",,,,,,,,,,,,
"Kentucky","Hancock County","3","3",2020-12-01,"N","N","N","N","N","N","N","N",,,,,,,,,,,,
"Kentucky","Hardin County","2","3",2020-12-01,"N","N","N","N","N","N","N","Y","Releases","Y","N","Y","N","Y","Y","N","N",648,9,
"Kentucky","Jackson County","3","3",2020-12-01,"N","N","N","N","N","N","N","N",,,,,,,,,,,,
"Kentucky","Jefferson County","1","3",2020-12-01,"Y","Y","Y","Y","Y","N","Y","Y","Mix","N","N","N","N","N","N","N","N",,1200,1800
"Kentucky","Kenton County","2","3",2020-12-01,"N","N","N","N","N","N","N","Y","Releases","Y","Y","Y","N","N","N","Y","N",650,274,716
"Kentucky","Pulaski County","3","3",2020-12-01,"N","N","N","N","N","N","N","N",,,,,,,,,,,,
"Kentucky","Rowan County","3","3",2020-12-01,"N","N","N","N","N","N","N","N",,,,,,,,,,,,
"Kentucky","Warren County","2","3",2020-12-01,"N","N","N","N","N","N","N","N",,,,,,,,,,562,,
"Kentucky","Wolfe County","3","3",2020-12-01,"N","N","N","N","N","N","N","N",,,,,,,,,,,,
"Kansas","Leavenworth County","3","2",2020-11-02,"N","N","N","N","N","N","N","N",,,,,,,,,,,,
"Kansas","Reno County","3","2",2020-11-02,"N","N","N","N","N","N","N","N",,,,,,,,,,,,
"Kansas","Riley County","3","2",2020-11-02,"N","N","N","N","N","N","N","N",,,,,,,,,,147,,
"Kansas","Barber County","3","2",2020-11-02,"N","N","N","N","N","N","N","N",,,,,,,,,,,,
"Kansas","Brown County","3","2",2021-02-03,"Y","N","N","N","Y","N","N","N",,,,,,,,,,50,,
"Kansas","Butler County","3","2",2021-02-03,"N","N","N","N","N","N","N","N",,,,,,,,,,230,,
"Kansas","Douglas County","2","2",2021-02-09,"N","N","N","N","N","N","N","Y","Releases","Y","N","Y","N","Y","N","N","Y",186,14,151
"Kansas","Hodgeman County","3","2",2021-02-21,"N","N","N","N","N","N","N","N",,,,,,,,,,8,,
"Kansas","Johnson County","1","2",2021-02-21,"Y","N","N","N","Y","N","N","N",,,,,,,,,,,,
"Kansas","Morris County","3","2",2021-02-21,"N","N","N","N","N","N","N","N",,,,,,,,,,,,
"Kansas","Ness County","3","2",2021-02-21,"N","N","N","N","N","N","N","N",,,,,,,,,,,,
"Kansas","Pawnee County","3","2",2021-02-21,"N","N","N","N","N","N","N","N",,,,,,,,,,16,,
"Kansas","Pratt County","3","2",2021-02-21,"Y","N","N","N","Y","N","N","N",,,,,,,,,,,,
"Kansas","Republic County","3","2",2021-10-20,"N","N","N","N","N","N","N","N",,,,,,,,,,,,
"Kansas","Sedgwick County","1","2",2020-10-20,"N","N","N","N","N","N","N","Y","Releases","Y","N","N","N","N","N","Y","N",,150,1600
"Kansas","Shawnee County","2","2",2020-10-20,"N","N","N","N","N","N","N","N",,,,,,,,,,507,,
"Kansas","Washington County","3","2",2020-10-20,"N","N","N","N","N","N","N","N",,,,,,,,,,,,
"Kansas","Wyandotte County","2","2",2020-10-20,"N","N","N","N","N","N","N","N",,,,,,,,,,,,
"Massachusetts","Barnstable County","2","1",2020-07-21,"N","N","N","N","N","N","N","Y","Releases","N","N","N","N","N","N","N","N",588,20,250
"Massachusetts","Berkshire County","2","1",2020-07-21,"N","N","N","N","N","N","N","Y","Mix","Y","Y","N","Y","N","N","Y","Y",500,22,
"Massachusetts","Bristol County","1","1",2020-07-21,"N","N","N","N","N","N","N","Y","Mix","N","N","N","N","N","N","N","Y",1206,37,
"Massachusetts","Dukes County","3","1",2020-07-22,"N","N","N","N","N","N","N","N",,,,,,,,,,44,,
"Massachusetts","Essex County","1","1",2020-07-22,"N","N","N","N","N","N","N","Y","Mix","N","N","N","N","N","N","N","Y",1654,187,1162
"Massachusetts","Franklin County","3","1",2020-07-22,"N","N","N","N","N","N","N","Y","Releases","Y","N","N","Y","N","N","Y","Y",190,12,
"Massachusetts","Hampden County","2","1",2020-07-22,"N","N","N","N","N","N","N","Y","Mix","N","N","N","N","N","N","N","Y",900,435,1166
"Massachusetts","Hampshire County","2","1",2020-07-23,"Y","N","N","N","N","N","Y","Y","Mix","N","N","N","N","N","N","N","Y",248,15,167
"Massachusetts","Middlesex County","1","1",2020-07-27,"Y","N","Y","Y","Y","Y","Y","Y","Releases","N","N","N","N","N","N","N","Y",340,226,788
"Massachusetts","Nantucket County","3","1",2020-07-27,"N","N","N","N","N","N","N","N",,,,,,,,,,,,
"Massachusetts","Norfolk County","1","1",2020-07-27,"N","N","N","N","N","N","N","Y","Releases","N","N","N","N","N","N","N","Y",502,70,388
"Massachusetts","Plymouth County","1","1",2020-07-27,"Y","N","Y","Y","N","N","N","Y","Releases","N","N","N","N","N","N","N","Y",1260,53,
"Massachusetts","Suffolk County","1","1",2020-07-27,"Y","N","N","Y","N","N","N","Y","Releases","N","N","N","N","N","N","N","Y",1892,47,
"Massachusetts","Worcester County","1","1",2020-07-27,"N","N","N","N","N","N","N","Y","Releases","N","N","N","N","N","N","N","Y",1000,59,
"New York","Albany County","2","1",2021-01-21,"N","N","N","N","N","N","N","Y","Releases","Y","N","Y","N","N","N","N","N",1043,,
"New York","Chautauqua County","2","1",2021-01-21,"Y","N","N","N","Y","N","N","N","Releases",,,,,,,,,,,
"New York","Chenango County","3","1",2021-01-21,"N","N","N","N","N","N","N","N",,,,,,,,,,133,,
"New York","Erie County","1","1",2021-01-21,"Y","N","N","N","Y","N","N","Y","Releases","Y","N","Y","N","Y","N","N","N",638,17,
"New York","Franklin County","3","1",2021-01-21,"N","N","N","N","N","N","N","N",,,,,,,,,,120,,
"New York","Genesee County","3","1",2021-01-21,"N","N","N","N","N","N","N","N",,,,,,,,,,87,,
"New York","New York City (including Kings County)","1","1",2021-01-31,"Y","Y","Y","Y","Y","Y","N","Y",,"N","N","N","N","N","N","N","N",,,
"New York","Lewis County","3","1",2021-01-21,"N","N","N","N","N","N","N","N",,,,,,,,,,,,
"New York","Nassau County","1","1",2021-01-21,"N","N","N","N","N","N","N","N",,,,,,,,,,,,
"New York","New York County","1","1",2021-01-31,"Y","Y","Y","Y","Y","Y","N","N",,,,,,,,,,,,
"New York","Oneida County","2","1",2021-01-21,"Y","N","N","N","Y","N","N","Y","Releases","Y","Y","N","N","N","N","N","N",634,11,
"New York","Queens County","1","1",2021-01-31,"Y","Y","Y","Y","Y","Y","N","Y","Releases","Y","Y","Y","N","N","Y","N","N",,2600,5800
"New York","Richmond County","2","1",2021-01-31,"Y","Y","Y","Y","Y","Y","N","N",,,,,,,,,,,,
"New York","St. Lawrence County","2","1",2021-01-21,"N","N","N","N","N","N","N","N",,,,,,,,,,,,
"New York","Sullivan County","3","1",2021-01-21,"N","N","N","N","N","N","N","N",,,,,,,,,,,,
"Virginia","Arlington County","2","3",2021-02-02,"Y","N","Y","N","N","N","N","Y","Mix","N","N","N","N","N","N","N","N",,81,307
"Virginia","Bristol city","3","3",2021-01-13,"N","N","N","N","N","N","N","Y","Mix","Y","N","N","Y","Y","N","N","N",67,100,173
"Virginia","Buchanan County","3","3",2021-01-27,"N","N","N","N","N","N","N","N",,,,,,,,,,,,
"Virginia","Fairfax County","1","3",2021-03-05,"Y","N","N","Y","N","N","N","N",,,,,,,,,,,,
"Virginia","Hampton city","2","3",2025-03-05,"Y","Y","Y","Y","N","Y","N","N",,,,,,,,,,468,,
"Virginia","Hanover County","2","3",2021-03-05,"Y","N","Y","Y","Y","N","N","Y","Releases","Y","N","N","N","Y","N","N","N",519,,6
"Virginia","Martinsville city","3","3",2021-02-01,"N","N","N","N","N","N","N","N",,,,,,,,,,66,,
"Virginia","Mathews County","3","3",2021-02-01,"N","N","N","N","N","N","N","N",,,,,,,,,,159,,
"Virginia","Newport News city","2","3",2021-02-03,"N","N","N","N","N","N","N","N",,,,,,,,,,,,
"Virginia","Prince Edward County","3","3",2021-02-01,"N","N","N","N","N","N","N","N",,,,,,,,,,,,
"Virginia","Prince William County","2","3",2021-02-01,"N","N","N","N","N","N","N","Y","Mix","Y","N","N","Y","N","Y","Y","N",,150,752
"Virginia","Pulaski County","3","3",2021-02-01,"N","N","N","N","N","N","N","N",,,,,,,,,,,,
"Virginia","Richmond city","2","3",2021-02-01,"Y","N","Y","Y","N","N","N","N",,,,,,,,,,,,
"Virginia","Spotsylvania County","2","3",2021-02-01,"N","N","N","N","N","N","N","N",,,,,,,,,,,,
"Virginia","Staunton County","3","3",2021-02-01,"N","N","N","N","N","N","N","N",,,,,,,,,,396,,
"Montana","Cascade County","3","4",2021-09-17,"N","N","N","N","N","N","N","Y","Releases","N","N","N","N","N","N","N","N",362,29,
"Montana","Lewis and Clark County","3","4",2021-09-17,"Y","N","N","N","Y","N","N","N",,,,,,,,,,80,,
"Montana","Silver Bow County","3","4",2021-09-17,"Y","N","N","N","Y","N","N","N",,,,,,,,,,72,,
"Montana","Big Horn County","3","4",2021-09-17,"N","N","N","N","N","N","N","N",,,,,,,,,,60,,
"Montana","Daniels County","3","4",2021-09-19,"N","N","N","N","N","N","N","N",,,,,,,,,,,,
"Montana","Gallatin County","2","4",2021-09-19,"N","N","N","N","N","N","N","Y","Releases","N","N","N","N","N","N","N","N",90,100,170
"Montana","Granite County","3","4",2021-09-20,"N","N","N","N","N","N","N","N",,,,,,,,,,165,,
"Montana","Lake County","3","4",2021-09-20,"N","N","N","N","N","N","N","N",,,,,,,,,,100,,
"Montana","Lincoln County","3","4",2021-09-21,"N","N","N","N","N","N","N","N",,,,,,,,,,29,,
"Montana","Madison County","3","4",2021-09-21,"N","N","N","N","N","N","N","N",,,,,,,,,,72,,
"Montana","Mineral County","3","4",2021-09-21,"N","N","N","N","N","N","N","N",,,,,,,,,,,,
"Montana","Missoula County","2","4",2021-09-21,"N","N","N","N","N","N","N","Y","Releases","N","N","N","N","N","N","N","N",394,73,194
"Montana","Musselshell County","3","4",2021-09-24,"N","N","N","N","N","N","N","N",,,,,,,,,,,,
"Montana","Petroleum County","3","4",2021-09-24,"N","N","N","N","N","N","N","N",,,,,,,,,,,,
"Montana","Ravalli County","3","4",2021-09-24,"N","N","N","N","N","N","N","N",,,,,,,,,,50,,
"Montana","Teton County","3","4",2021-09-25,"N","N","N","N","N","N","N","N",,,,,,,,,,,,
"Montana","Valley County","3","4",2021-09-25,"N","N","N","N","N","N","N","Y",,"N","N","N","N","N","N","N","N",,0,27
"Montana","Yellowstone County","2","4",2021-09-25,"N","N","N","N","N","N","N","Y","Releases","Y","N","Y","N","N","N","N","N",274,70,486
"Nevada","Carson City","3","4",2021-03-03,"N","N","N","N","N","N","N","N",,,,,,,,,,,,
"Nevada","Esmeralda County","3","4",2021-03-03,"N","N","N","N","N","N","N","N",,,,,,,,,,,,
"Nevada","Churchill County","3","4",2021-03-03,"N","N","N","N","N","N","N","N",,,,,,,,,,80,,
"Nevada","Clark County","1","4",2021-03-03,"N","N","N","N","N","N","N","Y","Releases","Y","Y","N","N","Y","Y","N","N",4000,115,2900
"Nevada","Douglas County","3","4",2021-03-03,"N","N","N","N","N","N","N","N",,,,,,,,,,98,,
"Nevada","Elko County","3","4",2021-03-03,"N","N","N","N","N","N","N","N",,,,,,,,,,,,
"Nevada","Eureka County","3","4",2021-03-03,"N","N","N","N","N","N","N","N",,,,,,,,,,119,,
"Nevada","Humboldt County","3","4",2021-03-03,"N","N","N","N","N","N","N","N",,,,,,,,,,84,,
"Nevada","Lander County","3","4",2021-03-03,"N","N","N","N","N","N","N","N",,,,,,,,,,,,
"Nevada","Lincoln County","3","4",2021-03-02,"N","N","N","N","N","N","N","N",,,,,,,,,,,,
"Nevada","Lyon County","3","4",2021-03-02,"N","N","N","N","N","N","N","N",,,,,,,,,,,,
"Nevada","Mineral County","3","4",2021-03-02,"N","N","N","N","N","N","N","N",,,,,,,,,,,,
"Nevada","Nye County","3","4",2021-03-02,"N","N","N","N","N","N","N","N",,,,,,,,,,,,
"Nevada","Pershing County","3","4",2021-03-02,"N","N","N","N","N","N","N","N",,,,,,,,,,1680,,
"Nevada","Storey County","3","4",2021-03-02,"N","N","N","N","N","N","N","N",,,,,,,,,,,,
"Nevada","Washoe County","2","4",2021-03-02,"N","N","N","N","N","N","N","N",,,,,,,,,,,,
"Nevada","White Pine County","3","4",2021-03-02,"N","N","N","N","N","N","N","N",,,,,,,,,,40,,
