"state","county","pop_tier","region","date_checked","source_reports","dashboard","testing","cases","population","deaths","releases","news_reports","releases_policy","breakdown","breakdown_parole_violations","breakdown_minor_offenses","breakdown_bail","breakdown_time_left","breakdown_vulnerable","breakdown_other","legal_filing","capacity","wave_1_pop_reduction","wave_1_pop_prior"
"Illinois","Madison County","2","2",2020-07-20,"N","N","N","N","N","N","N","Y","Releases","N","N","N","N","N","N","N","N",312,,300
"Illinois","McHenry County","2","2",2020-07-21,"Y","N","N","N","Y","N","N","Y",,"N","N","N","N","N","N","N","N",650,,
"Illinois","Winnebago County","2","2",2020-07-21,"N","N","N","N","N","N","N","Y",,"N","N","N","N","N","N","N","N",1324,,
"Illinois","Champaign County","2","2",2020-07-21,"N","N","N","N","N","N","N","Y","Releases","N","N","Y","N","N","Y","N","N",313,,
"Illinois","Cook County","1","2",2020-07-21,"Y","Y","Y","Y","Y","Y","N","Y","Mix","N","N","Y","Y","N","Y","N","N",10000,966,5555
"Illinois","DuPage County","1","2",2020-07-23,"N","N","N","N","N","N","N","Y",,"N","N","N","Y","N","N","Y","N",1000,160,529
"Illinois","Hancock County","3","2",2020-07-23,"N","N","N","N","N","N","N","N",,,,,,,,,,98,,
"Illinois","Kane County","1","2",2020-07-26,"N","N","N","N","N","N","N","Y","Releases","N","N","Y","Y","Y","N","N","N",640,119,499
"Illinois","Kendall County","2","2",2020-07-29,"N","N","N","N","N","N","N","N",,,,,,,,,,203,,
"Illinois","Lake County","1","2",2020-08-03,"N","N","N","N","N","N","N","Y","Releases","N","N","Y","N","Y","N","N","N",740,40,479
"Illinois","Monroe County","3","2",2020-08-04,"N","N","N","N","N","N","N","Y",,"N","N","N","N","N","N","N","N",,,
"Illinois","Moultrie County","3","2",2020-08-04,"N","N","N","N","N","N","N","N",,,,,,,,,,56,,
"Illinois","Putnam County","3","2",2020-08-04,"N","N","N","N","N","N","N","N",,,,,,,,,,5,,
"Illinois","Sangamon County","2","2",2020-08-04,"N","N","N","N","N","N","N","N",,,,,,,,,,314,,
"Illinois","Schuyler County","3","2",2020-08-04,"N","N","N","N","N","N","N","N",,,,,,,,,,34,,
"Illinois","St. Clair County","2","2",2020-08-04,"N","N","N","N","N","N","N","N",,,,,,,,,,418,,
"Illinois","Tazewell County","2","2",2020-08-04,"N","N","N","N","N","N","N","N",,,,,,,,,,226,,
"Illinois","Will County","1","2",2020-08-08,"N","N","N","N","N","N","N","N",,,,,,,,,,1000,,
"Michigan","Genesee County","2","2",2020-10-17,"Y","N","Y","Y","N","N","N","Y","Mix","N","N","N","N","N","N","N","N",690,70,500
"Michigan","Kalamazoo County","2","2",2020-10-17,"N","N","N","N","N","N","N","Y","Releases","Y","N","Y","Y","Y","Y","N","N",425,200,400
"Michigan","Washtenaw County","2","2",2020-10-17,"Y","Y","N","Y","Y","N","Y","Y","Releases","Y","N","N","Y","Y","Y","N","Y",404,151,332
"Michigan","Bay County","2","2",2020-10-17,"N","N","N","N","N","N","N","Y","Mix","Y","N","Y","N","Y","N","N","N",249,52,165
"Michigan","Cass County","3","2",2020-10-17,"N","N","N","N","N","N","N","N",,,,,,,,,,,,
"Michigan","Cheboygan County","3","2",2020-10-17,"N","N","N","N","N","N","N","N",,,,,,,,,,103,,
"Michigan","Houghton County","3","2",2020-10-17,"N","N","N","N","N","N","N","N",,,,,,,,,,28,,
"Michigan","Ingham County","2","2",2020-10-17,"N","N","N","N","N","N","N","Y","Releases","Y","N","Y","N","Y","N","Y","N",500,100,
"Michigan","Kent County","1","2",2020-10-17,"N","N","N","N","N","N","N","Y","Releases","Y","N","Y","N","Y","N","Y","N",1400,165,1100
"Michigan","Leelanau County","3","2",2020-10-17,"N","N","N","N","N","N","N","Y","Mix","Y","N","N","N","N","N","Y","N",72,,
"Michigan","Livingston County","2","2",2020-10-17,"N","N","N","N","N","N","N","N",,,,,,,,,,411,,
"Michigan","Macomb County","1","2",2020-10-17,"N","N","N","N","N","N","N","Y","Mix","Y","N","Y","Y","N","Y","N","N",1238,568,862
"Michigan","Manistee County","3","2",2020-10-17,"N","N","N","N","N","N","N","Y","Releases","Y","N","Y","N","Y","Y","N","N",80,4,50
"Michigan","Midland County","3","2",2020-10-17,"N","N","N","N","N","N","N","N",,,,,,,,,,247,,
"Michigan","Oakland County","1","2",2020-10-17,"N","N","N","N","N","N","N","Y","Releases","Y","N","Y","N","N","Y","Y","N",1083,325,1283
"Michigan","Ottawa County","2","2",2020-10-17,"N","N","N","N","N","N","N","N",,,,,,,,,,300,,
"Michigan","Saginaw County","2","2",2020-10-17,"N","N","N","N","N","N","N","Y","Mix","Y","N","Y","N","Y","Y","N","N",513,73,317
"Michigan","Wayne County","1","2",2020-10-17,"N","N","N","N","N","N","N","Y","Releases","N","N","Y","N","Y","Y","Y","N",,428,1381
"Minnesota","Anoka County","2","2",2020-11-02,"N","N","N","N","N","N","N","Y","Mix","Y","N","Y","N","N","N","N","N",238,16,
"Minnesota","Dakota County","2","2",2020-11-02,"N","N","N","N","N","N","N","N",,,,,,,,,,263,,
"Minnesota","Wright County","2","2",2020-11-02,"Y","N","N","N","Y","N","N","N",,,,,,,,,,288,,
"Minnesota","Beltrami County","3","2",2020-11-02,"Y","N","N","N","Y","N","N","N",,,,,,,,,,140,,
"Minnesota","Carver County","2","2",2020-11-02,"Y","N","N","N","Y","N","N","N",,,,,,,,,,,,
"Minnesota","Cass County","3","2",2020-11-02,"Y","N","N","N","Y","N","N","N",,,,,,,,,,60,,
"Minnesota","Cottonwood County","3","2",2020-11-02,"Y","N","N","N","Y","N","N","N",,,,,,,,,,21,,
"Minnesota","Hennepin County","1","2",2020-11-02,"Y","N","N","N","N","N","N","Y","Releases","Y","N","Y","N","N","N","N","N",839,213,815
"Minnesota","Lac qui Parle County","3","2",2020-11-02,"Y","N","N","N","Y","N","N","N",,,,,,,,,,12,,
"Minnesota","Mower County","3","2",2020-11-02,"Y","N","N","N","Y","N","N","N",,,,,,,,,,128,,
"Minnesota","Olmsted County","2","2",2020-11-02,"Y","N","N","N","Y","N","N","Y","Mix","N","N","N","N","N","N","N","N",292,,
"Minnesota","Ramsey County","1","2",2020-11-02,"N","N","N","N","N","N","N","Y","Mix","N","Y","Y","N","N","Y","Y","N",1056,153,393
"Minnesota","Red Lake County","3","2",2020-09-23,"Y","N","N","N","Y","N","N","Y","Mix","N","N","N","N","N","N","N","N",200,,
"Minnesota","Scott County","2","2",2020-09-24,"Y","N","N","N","Y","N","N","Y",,"N","N","N","N","N","N","N","N",264,25,78
"Minnesota","St. Louis County","2","2",2020-09-24,"Y","N","N","N","Y","N","N","Y","Releases","Y","N","Y","N","N","N","N","N",197,59,175
"Minnesota","Stearns County","2","2",2020-09-29,"Y","N","N","N","Y","N","N","N",,,,,,,,,,135,,
"Minnesota","Wabasha County","3","2",2020-09-29,"N","N","N","N","Y","N","N","Y","Mix","N","N","N","N","N","N","N","N",72,12,18
"Minnesota","Washington County","2","2",2020-09-29,"N","N","N","N","N","N","N","Y","Mix","Y","N","Y","N","N","N","N","N",200,,
"Pennsylvania","Allegheny County","1","1",2020-08-20,"Y","Y","Y","Y","Y","Y","Y","Y","Releases","N","N","N","N","N","N","N","Y",2400,912,2488
"Pennsylvania","Armstrong County","3","1",2020-09-07,"N","N","N","N","N","N","N","N",,,,,,,,,,158,,
"Pennsylvania","Beaver County","2","1",2020-08-21,"N","N","N","N","N","N","N","Y",,"N","N","N","N","N","N","N","N",376,,
"Pennsylvania","Bucks County","1","1",2020-08-21,"N","N","N","N","N","N","N","Y","Releases","N","N","N","N","N","N","N","Y",712,250,909
"Pennsylvania","Cameron County","3","1",,"N","N","N","N","N","N","N","N",,,,,,,,,,,,
"Pennsylvania","Chester County","1","1",2020-08-22,"Y","Y","N","Y","N","N","N","Y","Releases","N","N","N","N","N","N","N","N",912,107,746
"Pennsylvania","Cumberland County","2","1",2020-08-22,"N","N","N","N","N","N","N","Y","Releases","Y","N","N","N","N","N","Y","N",400,92,
"Pennsylvania","Delaware County","1","1",2020-08-22,"N","N","N","N","N","N","N","Y","Releases","N","N","N","N","N","N","N","Y",1883,493,1880
"Pennsylvania","Lackawanna County","2","1",2020-08-22,"Y","N","N","Y","N","N","N","N",,,,,,,,,,1200,,
"Pennsylvania","Lawrence County","3","1",2020-08-22,"N","N","N","N","N","N","N","N",,,,,,,,,,275,,
"Pennsylvania","Lycoming County","2","1",2020-08-25,"N","N","N","N","N","N","N","Y","Mix","N","N","N","N","N","N","N","Y",255,44,304
"Pennsylvania","Mercer County","2","1",2020-08-25,"N","N","N","N","N","N","N","Y","Releases","N","N","N","N","N","N","N","N",311,60,308
"Pennsylvania","Northumberland County","3","1",2020-08-25,"N","N","N","N","N","N","N","Y","Releases","N","N","N","N","N","N","N","N",284,100,248
"Pennsylvania","Philadelphia County","1","1",2020-08-25,"Y","Y","Y","Y","N","Y","N","Y","Releases","N","N","N","N","N","N","N","Y",,1300,4756
"Tennessee","Hamilton County","2","3",2020-07-20,"Y","N","Y","Y","Y","N","N","Y","Mix","Y","N","N","N","N","N","Y","N",1589,480,1484
"Tennessee","Sumner County","2","3",2020-07-20,"N","N","N","N","N","N","N","Y","Mix","Y","N","N","N","Y","Y","N","N",832,252,787
"Tennessee","Wilson County","2","3",2020-07-20,"N","N","N","N","N","N","N","Y","Mix","Y","N","N","N","N","N","Y","N",462,132,506
"Tennessee","Benton County","3","3",2020-08-03,"N","N","N","N","N","N","N","Y","Mix","Y","N","N","N","N","N","Y","N",140,45,119
"Tennessee","Bradley County","2","3",2020-08-03,"Y","N","Y","Y","N","N","N","Y","Mix","N","N","N","N","N","N","N","N",,207,492
"Tennessee","Davidson County","1","3",2020-07-22,"Y","N","Y","Y","N","N","Y","Y","Mix","N","N","N","N","N","N","N","N",2038,167,2121
"Tennessee","Hamblen County","3","3",2020-08-05,"N","N","N","N","N","N","N","Y","Mix","Y","N","N","N","N","N","Y","N",255,146,384
"Tennessee","Humphreys County","3","3",2020-08-03,"N","N","N","N","N","N","N","Y","Mix","Y","N","N","N","N","N","Y","N",68,29,97
"Tennessee","Knox County","2","3",2020-07-22,"Y","N","N","N","Y","N","N","Y","Mix","Y","N","Y","Y","N","N","Y","N",1371,533,1458
"Tennessee","Lawrence County","3","3",2020-07-22,"N","N","N","N","N","N","N","Y","Mix","Y","N","Y","N","N","N","N","N",262,112,285
"Tennessee","Maury County","3","3",2020-07-22,"N","N","N","N","N","N","N","Y","Mix","Y","N","Y","N","N","N","N","N",386,95,301
"Tennessee","Meigs County","3","3",2020-07-23,"N","N","N","N","N","N","N","Y","Mix","Y","N","N","N","N","N","Y","N",56,30,80
"Tennessee","Montgomery County","2","3",2020-07-23,"N","N","N","N","N","N","N","Y","Mix","Y","N","N","N","N","N","Y","N",880,125,550
"Tennessee","Overton County","3","3",2020-07-23,"N","N","N","N","N","N","N","Y","Mix","Y","N","N","N","N","N","Y","N",143,119,143
"Tennessee","Rutherford County","2","3",2020-07-24,"Y","N","Y","N","Y","N","Y","Y","Mix","Y","N","N","N","N","N","Y","Y",1272,250,1272
"Tennessee","Shelby County","1","3",2020-08-13,"Y","Y","Y","Y","Y","N","N","Y","Mix","Y","N","N","N","N","N","Y","N",6866,872,4578
"Tennessee","Sullivan County","2","3",2020-08-13,"N","N","N","N","N","N","N","Y","Mix","Y","N","N","N","N","N","Y","N",619,198,901
"Tennessee","Williamson County","2","3",2020-08-13,"N","N","N","N","N","N","N","Y","Mix","Y","N","Y","N","Y","N","Y","N",454,277,327
"Texas","Dallas County","1","3",2020-08-14,"N","N","N","N","N","N","N","Y","Mix","Y","N","Y","N","N","N","Y","N",7926,1000,5879
"Texas","Harris County","1","3",2020-08-16,"Y","Y","Y","N","Y","N","N","Y","Mix","Y","N","Y","N","N","N","Y","N",10566,1114,9072
